question,option_0,option_1,option_2,option_3,ans
X'wieġeb l-Uffiċċju Meteoroloġiku dwar il-kejl tas-silġ?,Li kien hemm rekord ikkonfermat,Li s-silġ kien ta' metru,Li kien hemm kejl preċiż,Li ma teżistix kejl tas-silġ,3
Meta bdiet il-maltempata li wasslet għas-silġ?,Wara nofsinhar,Fis-sigħat bikrin ta' filgħodu,Filgħaxija tard,F’nofs il-lejl biss,1
X’għamlu l-ġenituri kmieni filgħodu minħabba s-silġ?,Marru jiġbru lit-tfal mill-iskola,Telgħu fuq il-bejt ineħħu s-silġ,Ħarġu jixtru l-ikel,Marru għand il-pulizija,1
X'kien qal Robert Abela qabel ma ħabbar l-elezzjoni bikrija?,Li kien se jagħmel leġislatura sħiħa,Li kien se jirriżenja,Li kien se jmur l-UE,Li kien se jbiddel il-kostituzzjoni,0
Min kien il-mexxej Laburista li għamel U-turn dwar l-elezzjoni?,Alex Agius Saliba,Robert Abela,Alex Sciberras,Miriam Dalli,1
X'se jagħmel il-President wara l-parir tal-Prim Ministru?,Jifforma gvern ġdid,Jinnomina ministri ġodda,Ixolji l-parlament,Isejjaħ referendum,2
X'kienet ir-reazzjoni tal-ġurnalisti wara l-laqgħa?,Taw konferenza huma,Marru d-dar immedjatament,Intervistaw lill-president,Baqgħu mingħajr tweġibiet,3
Min qal li l-Partit Laburista m'għandux urġenza għall-elezzjoni?,Alex Agius Saliba,Ian Borg,Robert Abela,Clyde Caruana,0
Liema reġjun ġie msemmi bħala wieħed mit-turbolenzi internazzjonali?,Mediterran,Golf,Baltiku,Atlantiku,1
X'kien qed jipprova jevita l-gvern skont id-diskors?,Żieda fit-taxxi,Riċessjoni,Kriżi oħra,Bidla fil-munita,2
Kif ġiet deskritta l-qasma fil-Partit Laburista?,Minima,Temporanja,Ineżistenti,Evidenti,3
Min kien qed jagħti l-kollegament dirett quddiem il-palazz?,Marija Borg,Desire Grech,Miriam Dalli,Julia Farrugia,0
Fejn jinsab il-Palazz ta' San Anton?,Rabat,Attard,Valletta,Mosta,1
Liema lokalità kienet għadha miksija bis-silġ kmieni filgħodu?,Mtarfa,Baħrija,Pjazza tar-Rabat,Tas-Sliema,2
X'għamlu xi tfal bis-silġ?,Bnew kastell,Bnew dgħajsa,Lagħbu futbol,Għamlu snowman,3
X'kien qed jinkwieta lill-bdiewa wara l-maltemp?,Il-ħsara lill-uċuħ,It-traffiku,L-iskejjel,It-turiżmu,0
Liema xitla ssemmiet bħala waħda milquta?,Tadam,Basal,Frawli,Lumi,1
X'kien mimli fil-ġiebja qabel ma nfaqgħet?,Ħamrija,Żrar,Silġ,Żejt,2
Liema dipartiment kien qed ineħħi s-silġ mit-toroq?,ARMS,Jobsplus,Identity Malta,Cleansing Department,3
Min appella lill-bdiewa biex jikkuntattjaw lil Agriconnect?,Julia Farrugia,Miriam Dalli,Marthese Portelli,Roberta Metsola,0
Liema università ġiet imsemmija mill-professur?,MCAST,Università ta' Malta,ITS,Junior College,1
X'tip ta' sistema meteoroloġika ġiet spjegata?,Antiċiklun,Mewġ tas-sħana,Pressjoni baxxa,Tornado,2
Kif ġie deskritt l-avveniment tas-silġ?,Komuni,Staġjonali,Mistenni,Estrem,3
